sample_ID	provider_ID	genus	species	clade	location	sublocation	sex	gsdf_copies	chr19_ins_GT	chr19_ins_AC	chr7_ins_GT	chr7_ins_AC	avg_seq_depth	cram
ILBCDS5879809	2D3D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	7,0	7.59	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879809/fAstCal1.2/ILBCDS5879809.mem.crumble.cram
ILBCDS5879810	2D3E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	11,0	0/0	3,0	7.83	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879810/fAstCal1.2/ILBCDS5879810.mem.crumble.cram
ILBCDS5879812	2E4B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	6,0	8.71	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879812/fAstCal1.2/ILBCDS5879812.mem.crumble.cram
ILBCDS5879815	2E4E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	2,0	0/0	6,0	7.83	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879815/fAstCal1.2/ILBCDS5879815.mem.crumble.cram
ILBCDS5879817	2E5B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	3,0	7.83	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879817/fAstCal1.2/ILBCDS5879817.mem.crumble.cram
ILBCDS5879818	2E5C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	8,0	7.56	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879818/fAstCal1.2/ILBCDS5879818.mem.crumble.cram
ILBCDS5879819	2E5D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	2,0	6.15	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879819/fAstCal1.2/ILBCDS5879819.mem.crumble.cram
ILBCDS5879820	2E5E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	5,0	7.42	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879820/fAstCal1.2/ILBCDS5879820.mem.crumble.cram
ILBCDS5879822	2E6B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	3,0	6.2	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879822/fAstCal1.2/ILBCDS5879822.mem.crumble.cram
ILBCDS5879825	2E6E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	3,0	6.68	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879825/fAstCal1.2/ILBCDS5879825.mem.crumble.cram
ILBCDS5879827	2E7B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	2,0	0/0	3,0	5.93	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879827/fAstCal1.2/ILBCDS5879827.mem.crumble.cram
ILBCDS5879828	2E7C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	1,0	5.81	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879828/fAstCal1.2/ILBCDS5879828.mem.crumble.cram
ILBCDS5879829	2F4A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	6,0	5.58	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879829/fAstCal1.2/ILBCDS5879829.mem.crumble.cram
ILBCDS5879833	2F5A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	4,0	5.95	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879833/fAstCal1.2/ILBCDS5879833.mem.crumble.cram
ILBCDS5879834	2F5B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	5,0	6.2	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879834/fAstCal1.2/ILBCDS5879834.mem.crumble.cram
ILBCDS5879835	2F5C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	3,0	8.15	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879835/fAstCal1.2/ILBCDS5879835.mem.crumble.cram
ILBCDS5879839	2F7C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	3,0	7.68	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879839/fAstCal1.2/ILBCDS5879839.mem.crumble.cram
ILBCDS5879840	2F7D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	3,0	7.77	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879840/fAstCal1.2/ILBCDS5879840.mem.crumble.cram
ILBCDS5879841	2F7E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	6,0	6.83	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879841/fAstCal1.2/ILBCDS5879841.mem.crumble.cram
ILBCDS5879842	1I6A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	8,0	0/0	10,0	7.84	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879842/fAstCal1.2/ILBCDS5879842.mem.crumble.cram
ILBCDS5879843	1I6B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	6,0	8.9	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879843/fAstCal1.2/ILBCDS5879843.mem.crumble.cram
ILBCDS5879844	2A10A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	1,0	7.26	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879844/fAstCal1.2/ILBCDS5879844.mem.crumble.cram
ILBCDS5879845	2A10B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	2,0	6.96	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879845/fAstCal1.2/ILBCDS5879845.mem.crumble.cram
ILBCDS5879846	2A10C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	11,0	7.28	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879846/fAstCal1.2/ILBCDS5879846.mem.crumble.cram
ILBCDS5879847	2A10D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	7,0	8	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879847/fAstCal1.2/ILBCDS5879847.mem.crumble.cram
ILBCDS5879848	2B1A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	5,0	8.04	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879848/fAstCal1.2/ILBCDS5879848.mem.crumble.cram
ILBCDS5879849	2B1B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	6,0	7.05	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879849/fAstCal1.2/ILBCDS5879849.mem.crumble.cram
ILBCDS5879850	2B1C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	5,0	8.2	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879850/fAstCal1.2/ILBCDS5879850.mem.crumble.cram
ILBCDS5879851	2B1D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	5,0	8.79	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879851/fAstCal1.2/ILBCDS5879851.mem.crumble.cram
ILBCDS5879852	2B3A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	9,0	8.19	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879852/fAstCal1.2/ILBCDS5879852.mem.crumble.cram
ILBCDS5879853	2B3B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	6,0	7.5	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879853/fAstCal1.2/ILBCDS5879853.mem.crumble.cram
ILBCDS5879854	2B3C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	2,0	0/0	6,0	7.46	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879854/fAstCal1.2/ILBCDS5879854.mem.crumble.cram
ILBCDS5879855	2B3D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	8,0	7.99	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879855/fAstCal1.2/ILBCDS5879855.mem.crumble.cram
ILBCDS5879856	2B4A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	7,0	8.29	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879856/fAstCal1.2/ILBCDS5879856.mem.crumble.cram
ILBCDS5879857	2B4B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	9,0	0/0	6,0	7.16	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879857/fAstCal1.2/ILBCDS5879857.mem.crumble.cram
ILBCDS5879858	2B4C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	3,0	7.9	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879858/fAstCal1.2/ILBCDS5879858.mem.crumble.cram
ILBCDS5879859	2B4D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	4,0	7.02	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879859/fAstCal1.2/ILBCDS5879859.mem.crumble.cram
ILBCDS5879861	2B5B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	6,0	7.81	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879861/fAstCal1.2/ILBCDS5879861.mem.crumble.cram
ILBCDS5879862	2B5C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	10,0	0/0	2,0	8.09	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879862/fAstCal1.2/ILBCDS5879862.mem.crumble.cram
ILBCDS5879863	2B5D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	8,0	0/0	2,0	8.8	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879863/fAstCal1.2/ILBCDS5879863.mem.crumble.cram
ILBCDS5879864	2C3A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	4,0	8.87	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879864/fAstCal1.2/ILBCDS5879864.mem.crumble.cram
ILBCDS5879865	2C3B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	8,0	0/0	3,0	7.14	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879865/fAstCal1.2/ILBCDS5879865.mem.crumble.cram
ILBCDS5879866	2C3C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	8,0	8.52	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879866/fAstCal1.2/ILBCDS5879866.mem.crumble.cram
ILBCDS5879867	2C3D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	9,0	0/0	5,0	8.98	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879867/fAstCal1.2/ILBCDS5879867.mem.crumble.cram
ILBCDS5879868	2C3E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	6,0	8.7	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879868/fAstCal1.2/ILBCDS5879868.mem.crumble.cram
ILBCDS5879869	2C6	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	2,0	9.31	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879869/fAstCal1.2/ILBCDS5879869.mem.crumble.cram
ILBCDS5879871	2B10B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	3,0	8.76	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879871/fAstCal1.2/ILBCDS5879871.mem.crumble.cram
ILBCDS5879872	2B10C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	10,0	0/0	8,0	8.69	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879872/fAstCal1.2/ILBCDS5879872.mem.crumble.cram
ILBCDS5879873	2B10D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	6,0	7.24	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879873/fAstCal1.2/ILBCDS5879873.mem.crumble.cram
ILBCDS5879874	2B10E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	11,0	8.47	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879874/fAstCal1.2/ILBCDS5879874.mem.crumble.cram
ILBCDS5879875	2B8A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	7,0	9.19	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879875/fAstCal1.2/ILBCDS5879875.mem.crumble.cram
ILBCDS5879876	2B8B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	10,0	8.62	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879876/fAstCal1.2/ILBCDS5879876.mem.crumble.cram
ILBCDS5879878	2B8D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	7,0	8.25	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879878/fAstCal1.2/ILBCDS5879878.mem.crumble.cram
ILBCDS5879879	2B8E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	8,0	0/0	6,0	7.93	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879879/fAstCal1.2/ILBCDS5879879.mem.crumble.cram
ILBCDS5879880	215A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	4,0	8.47	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879880/fAstCal1.2/ILBCDS5879880.mem.crumble.cram
ILBCDS5879881	215B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	4,0	6.84	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879881/fAstCal1.2/ILBCDS5879881.mem.crumble.cram
ILBCDS5879882	215C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	7,0	8.45	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879882/fAstCal1.2/ILBCDS5879882.mem.crumble.cram
ILBCDS5879883	215D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	7,0	9.01	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879883/fAstCal1.2/ILBCDS5879883.mem.crumble.cram
ILBCDS5879884	215E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	9,0	0/0	3,0	7.44	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879884/fAstCal1.2/ILBCDS5879884.mem.crumble.cram
ILBCDS5879885	215F	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	5,0	7.26	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879885/fAstCal1.2/ILBCDS5879885.mem.crumble.cram
ILBCDS5879886	215G	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	2,0	0/0	4,0	5.95	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879886/fAstCal1.2/ILBCDS5879886.mem.crumble.cram
ILBCDS5879887	216A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	2,0	5.41	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879887/fAstCal1.2/ILBCDS5879887.mem.crumble.cram
ILBCDS5879889	216C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	1,0	0/0	3,0	4.15	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879889/fAstCal1.2/ILBCDS5879889.mem.crumble.cram
ILBCDS5879914	216E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	2,0	0/0	6,0	5.88	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879914/fAstCal1.2/ILBCDS5879914.mem.crumble.cram
ILBCDS5879915	216F	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	8,0	0/0	9,0	10.98	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879915/fAstCal1.2/ILBCDS5879915.mem.crumble.cram
ILBCDS5879916	2C10B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	10,0	0/0	5,0	11.46	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879916/fAstCal1.2/ILBCDS5879916.mem.crumble.cram
ILBCDS5879917	2C10C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	14,0	0/0	8,0	11.36	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879917/fAstCal1.2/ILBCDS5879917.mem.crumble.cram
ILBCDS5879918	2C10D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	10,0	0/0	9,0	13.59	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879918/fAstCal1.2/ILBCDS5879918.mem.crumble.cram
ILBCDS5879919	2C9A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	9,0	0/0	5,0	7.89	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879919/fAstCal1.2/ILBCDS5879919.mem.crumble.cram
ILBCDS5879920	2C9B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	10,0	0/0	3,0	7.5	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879920/fAstCal1.2/ILBCDS5879920.mem.crumble.cram
ILBCDS5879921	2C9C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	5,0	7.57	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879921/fAstCal1.2/ILBCDS5879921.mem.crumble.cram
ILBCDS5879922	2C9D	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	11,0	0/0	12,0	6.79	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879922/fAstCal1.2/ILBCDS5879922.mem.crumble.cram
ILBCDS5879923	2C9E	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	7,0	0/0	5,0	6.78	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879923/fAstCal1.2/ILBCDS5879923.mem.crumble.cram
ILBCDS5879924	2D5A	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	6,0	7.02	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879924/fAstCal1.2/ILBCDS5879924.mem.crumble.cram
ILBCDS5879925	2D5B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	10,0	0/0	4,0	6.87	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879925/fAstCal1.2/ILBCDS5879925.mem.crumble.cram
ILBCDS5879926	2D5C	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	6,0	0/0	9,0	7.47	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879926/fAstCal1.2/ILBCDS5879926.mem.crumble.cram
ILBCDS5879928	2D5F	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	5,0	0/0	13,0	7.35	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879928/fAstCal1.2/ILBCDS5879928.mem.crumble.cram
ILBCDS5879929	179	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	4,0	0/0	3,0	8.29	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879929/fAstCal1.2/ILBCDS5879929.mem.crumble.cram
ILBCDS5879930	211	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	9,0	8.33	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879930/fAstCal1.2/ILBCDS5879930.mem.crumble.cram
ILBCDS5879932	213B	Astatotilapia	calliptera	AstCal	Lake Masoko	NA	M	3	0/0	3,0	0/0	7,0	7.8	/rds/rds-durbin-group-8b3VcZwY7rY/projects/cichlid/alignments/ILB_Cichlid_diversity_sequencing_WTMGM_student_project/ILBCDS5879932/fAstCal1.2/ILBCDS5879932.mem.crumble.cram
